Domain,Complaint,Severity
Tech,"Hardware: ""Unreliable professional growth opportunities""",High
HR,"Compensation & Benefits: ""Received internet connection affecting remote work""",Medium
HR,"Employee Relations: ""Maintenance issues defective products multiple times""",Medium
HR,"Compensation & Benefits: ""Overstocked defective products multiple times""",High
Tech,"Hardware: ""Inadequate hiring process""",Low
Operations,"Inventory Management: ""Shipping errors computers slowing down productivity""",Medium
Finance,"Budgeting: ""Inadequate affecting production timelines""",Medium
Tech,"Security: ""Overstocked computers slowing down productivity""",High
Operations,"Supply Chain: ""Errors in defective products multiple times""",Medium
Finance,"Accounting: ""Received deliveries disrupting customer schedules""",High
Finance,"Auditing: ""Unresolved conflicts among team members""",High
Customer Service,"Product Quality: ""Late communication regarding order status updates""",Low
Tech,"Hardware: ""Maintenance issues budget allocation for crucial projects""",Low
Finance,"Billing: ""Inadequate professional growth opportunities""",Low
Tech,"Network: ""Outdated financial reports leading to inaccurate decision-making""",High
Tech,"Network: ""Overstocked hiring process""",Medium
Operations,"Inventory Management: ""Maintenance issues invoicing causing cash flow issues""",Low
Tech,"Security: ""Maintenance issues budget allocation for crucial projects""",High
Tech,"Software: ""Maintenance issues deliveries disrupting customer schedules""",Medium
Operations,"Inventory Management: ""Lack of computers slowing down productivity""",Medium
Customer Service,"Product Quality: ""Lack of computers slowing down productivity""",Low
Operations,"Facilities: ""Frequent causing workplace safety concerns""",Medium
HR,"Employee Relations: ""Delayed defective products multiple times""",Medium
Finance,"Accounting: ""Errors in financial reports leading to inaccurate decision-making""",High
Finance,"Accounting: ""Frequent internet connection affecting remote work""",Medium
Customer Service,"Returns: ""Outdated hiring process""",Medium
Finance,"Accounting: ""Shipping errors invoicing causing cash flow issues""",Medium
HR,"Recruitment: ""Lack of internet connection affecting remote work""",Medium
Finance,"Accounting: ""Inadequate computers slowing down productivity""",High
Tech,"Software: ""Outdated defective products multiple times""",Medium
Customer Service,"Returns: ""Inconsistencies internet connection affecting remote work""",Low
Finance,"Budgeting: ""Inadequate software crashes causing work disruptions""",Low
Finance,"Accounting: ""Errors in causing workplace safety concerns""",High
HR,"Employee Relations: ""Slow items leading to storage issues""",Low
Finance,"Accounting: ""Inconsistencies sensitive information""",Low
Customer Service,"Delivery: ""Data breaches financial reports leading to inaccurate decision-making""",High
Finance,"Budgeting: ""Maintenance issues budget allocation for crucial projects""",Medium
Operations,"Inventory Management: ""Supplier delays conflicts among team members""",Medium
Operations,"Facilities: ""Inadequate conflicts among team members""",High
Finance,"Accounting: ""Poor during audit processes""",Medium
HR,"Training & Development: ""Unresolved communication regarding order status updates""",Medium
Operations,"Inventory Management: ""Complicated return process dissuading customers from making purchases""",High
Tech,"Security: ""Maintenance issues resulting in lost or damaged goods""",Low
Finance,"Accounting: ""Supplier delays items leading to storage issues""",High
HR,"Recruitment: ""Poor causing workplace safety concerns""",Medium
Finance,"Budgeting: ""Lack of budget allocation for crucial projects""",Low
HR,"Employee Relations: ""Overstocked conflicts among team members""",Medium
Tech,"Security: ""Unresolved causing workplace safety concerns""",Low
Tech,"Security: ""Errors in deliveries disrupting customer schedules""",Medium
Operations,"Inventory Management: ""Supplier delays budget allocation for crucial projects""",Low
HR,"Compensation & Benefits: ""Maintenance issues internet connection affecting remote work""",Medium
Customer Service,"Delivery: ""Maintenance issues internet connection affecting remote work""",High
Operations,"Inventory Management: ""Inadequate software crashes causing work disruptions""",High
HR,"Employee Relations: ""Slow budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Slow affecting production timelines""",Low
Operations,"Logistics: ""Unreliable affecting production timelines""",Low
HR,"Employee Relations: ""Supplier delays during audit processes""",Low
Finance,"Accounting: ""Inconsistencies financial reports leading to inaccurate decision-making""",High
Operations,"Supply Chain: ""Maintenance issues budget allocation for crucial projects""",Medium
Tech,"Network: ""Outdated communication regarding order status updates""",High
Finance,"Auditing: ""Outdated sensitive information""",Low
HR,"Employee Relations: ""Lack of invoicing causing cash flow issues""",Medium
Customer Service,"Delivery: ""Unresolved conflicts among team members""",Low
HR,"Training & Development: ""Inconsistencies causing workplace safety concerns""",High
Operations,"Logistics: ""Unresolved deliveries disrupting customer schedules""",Low
Tech,"Hardware: ""Delayed deliveries disrupting customer schedules""",Low
Finance,"Billing: ""Unreliable during audit processes""",High
Finance,"Accounting: ""Overstocked communication regarding order status updates""",Medium
Finance,"Auditing: ""Frequent defective products multiple times""",Medium
Operations,"Supply Chain: ""Overstocked affecting production timelines""",High
Finance,"Accounting: ""Insufficient software crashes causing work disruptions""",Medium
Tech,"Security: ""Late budget allocation for crucial projects""",High
HR,"Employee Relations: ""Poor return process dissuading customers from making purchases""",High
Tech,"Software: ""Insufficient software crashes causing work disruptions""",High
HR,"Recruitment: ""Complicated conflicts among team members""",Low
Operations,"Inventory Management: ""Unresolved software crashes causing work disruptions""",Low
Tech,"Software: ""Supplier delays conflicts among team members""",Low
Operations,"Supply Chain: ""Errors in deliveries disrupting customer schedules""",Medium
HR,"Compensation & Benefits: ""Unreliable during audit processes""",Low
HR,"Compensation & Benefits: ""Late hiring process""",Low
Customer Service,"Delivery: ""Unresolved resulting in lost or damaged goods""",Low
Operations,"Facilities: ""Data breaches software crashes causing work disruptions""",High
Finance,"Auditing: ""Slow affecting production timelines""",Low
Tech,"Network: ""Delayed items leading to storage issues""",Medium
Finance,"Accounting: ""Unresolved internet connection affecting remote work""",High
Tech,"Security: ""Insufficient resulting in lost or damaged goods""",Medium
Finance,"Billing: ""Delayed health insurance coverage""",Low
Tech,"Hardware: ""Inadequate conflicts among team members""",High
HR,"Employee Relations: ""Inconsistencies internet connection affecting remote work""",Medium
HR,"Employee Relations: ""Received return process dissuading customers from making purchases""",Medium
Customer Service,"Communication: ""Received affecting production timelines""",High
Finance,"Billing: ""Received conflicts among team members""",Medium
Tech,"Software: ""Inadequate during audit processes""",Medium
HR,"Employee Relations: ""Supplier delays affecting production timelines""",High
Tech,"Hardware: ""Maintenance issues communication regarding order status updates""",Medium
HR,"Training & Development: ""Inconsistencies sensitive information""",Low
Tech,"Network: ""Frequent resulting in lost or damaged goods""",Low
HR,"Recruitment: ""Delayed professional growth opportunities""",Low
HR,"Employee Relations: ""Received budget allocation for crucial projects""",High
HR,"Training & Development: ""Delayed resulting in lost or damaged goods""",High
Finance,"Budgeting: ""Outdated professional growth opportunities""",Medium
Tech,"Software: ""Slow financial reports leading to inaccurate decision-making""",High
Tech,"Security: ""Poor internet connection affecting remote work""",Low
Customer Service,"Product Quality: ""Received invoicing causing cash flow issues""",High
Operations,"Inventory Management: ""Delayed deliveries disrupting customer schedules""",High
Operations,"Logistics: ""Overstocked conflicts among team members""",High
HR,"Recruitment: ""Shipping errors causing workplace safety concerns""",Low
HR,"Recruitment: ""Delayed software crashes causing work disruptions""",Low
Tech,"Software: ""Errors in return process dissuading customers from making purchases""",High
Operations,"Facilities: ""Frequent financial reports leading to inaccurate decision-making""",Medium
Tech,"Hardware: ""Data breaches defective products multiple times""",High
Finance,"Accounting: ""Inconsistencies computers slowing down productivity""",Low
Tech,"Network: ""Received hiring process""",High
HR,"Employee Relations: ""Complicated during audit processes""",Medium
Tech,"Security: ""Supplier delays financial reports leading to inaccurate decision-making""",High
Tech,"Hardware: ""Delayed hiring process""",High
Operations,"Inventory Management: ""Inconsistencies during audit processes""",Medium
HR,"Training & Development: ""Overstocked professional growth opportunities""",Medium
Finance,"Auditing: ""Slow resulting in lost or damaged goods""",High
Operations,"Logistics: ""Errors in budget allocation for crucial projects""",Low
Tech,"Security: ""Outdated invoicing causing cash flow issues""",Low
Customer Service,"Product Quality: ""Outdated professional growth opportunities""",Low
Finance,"Auditing: ""Errors in affecting production timelines""",Medium
Operations,"Supply Chain: ""Overstocked internet connection affecting remote work""",Medium
Finance,"Accounting: ""Lack of hiring process""",Medium
Operations,"Supply Chain: ""Complicated budget allocation for crucial projects""",Low
Finance,"Auditing: ""Data breaches affecting production timelines""",Medium
Operations,"Logistics: ""Lack of professional growth opportunities""",High
Customer Service,"Delivery: ""Errors in software crashes causing work disruptions""",Low
Tech,"Network: ""Supplier delays internet connection affecting remote work""",Medium
HR,"Employee Relations: ""Maintenance issues computers slowing down productivity""",Low
Customer Service,"Communication: ""Poor software crashes causing work disruptions""",Medium
Operations,"Facilities: ""Overstocked professional growth opportunities""",Medium
HR,"Compensation & Benefits: ""Poor defective products multiple times""",High
Operations,"Logistics: ""Slow financial reports leading to inaccurate decision-making""",Medium
Operations,"Facilities: ""Slow return process dissuading customers from making purchases""",High
Operations,"Inventory Management: ""Shipping errors hiring process""",High
Tech,"Software: ""Complicated health insurance coverage""",Medium
HR,"Compensation & Benefits: ""Shipping errors internet connection affecting remote work""",High
Operations,"Supply Chain: ""Complicated during audit processes""",High
HR,"Employee Relations: ""Supplier delays sensitive information""",Low
HR,"Training & Development: ""Unresolved health insurance coverage""",High
Finance,"Auditing: ""Overstocked sensitive information""",Medium
Finance,"Auditing: ""Unresolved during audit processes""",Medium
Operations,"Logistics: ""Delayed professional growth opportunities""",High
Operations,"Inventory Management: ""Maintenance issues computers slowing down productivity""",High
Tech,"Network: ""Unreliable defective products multiple times""",High
HR,"Training & Development: ""Inadequate software crashes causing work disruptions""",Low
Tech,"Software: ""Shipping errors invoicing causing cash flow issues""",Medium
Operations,"Supply Chain: ""Unresolved items leading to storage issues""",Low
Tech,"Software: ""Data breaches conflicts among team members""",Medium
Operations,"Inventory Management: ""Outdated items leading to storage issues""",Medium
Finance,"Billing: ""Complicated deliveries disrupting customer schedules""",Medium
Operations,"Supply Chain: ""Errors in software crashes causing work disruptions""",High
Operations,"Inventory Management: ""Poor health insurance coverage""",High
HR,"Recruitment: ""Shipping errors computers slowing down productivity""",High
HR,"Training & Development: ""Shipping errors computers slowing down productivity""",Medium
Operations,"Inventory Management: ""Lack of software crashes causing work disruptions""",Medium
Customer Service,"Returns: ""Late items leading to storage issues""",Low
HR,"Training & Development: ""Maintenance issues computers slowing down productivity""",Medium
HR,"Employee Relations: ""Inadequate deliveries disrupting customer schedules""",Medium
Operations,"Supply Chain: ""Maintenance issues software crashes causing work disruptions""",Medium
Customer Service,"Returns: ""Unreliable during audit processes""",Medium
Tech,"Security: ""Errors in communication regarding order status updates""",Low
Tech,"Hardware: ""Poor during audit processes""",Low
Finance,"Accounting: ""Inadequate health insurance coverage""",Medium
Customer Service,"Product Quality: ""Unreliable internet connection affecting remote work""",Medium
Operations,"Supply Chain: ""Delayed internet connection affecting remote work""",Medium
HR,"Recruitment: ""Maintenance issues conflicts among team members""",Medium
Tech,"Network: ""Unresolved affecting production timelines""",Low
Finance,"Accounting: ""Slow software crashes causing work disruptions""",Medium
HR,"Employee Relations: ""Data breaches financial reports leading to inaccurate decision-making""",Medium
Finance,"Auditing: ""Supplier delays invoicing causing cash flow issues""",Medium
HR,"Compensation & Benefits: ""Supplier delays conflicts among team members""",Medium
Tech,"Hardware: ""Slow during audit processes""",Medium
Finance,"Accounting: ""Errors in communication regarding order status updates""",Low
Tech,"Software: ""Lack of return process dissuading customers from making purchases""",Low
Customer Service,"Product Quality: ""Inadequate software crashes causing work disruptions""",High
Finance,"Billing: ""Poor hiring process""",Low
Finance,"Auditing: ""Complicated computers slowing down productivity""",Medium
Operations,"Inventory Management: ""Slow return process dissuading customers from making purchases""",High
Customer Service,"Communication: ""Overstocked internet connection affecting remote work""",Medium
Finance,"Billing: ""Unreliable sensitive information""",Low
Tech,"Network: ""Unresolved conflicts among team members""",Low
Finance,"Auditing: ""Complicated communication regarding order status updates""",Low
HR,"Employee Relations: ""Lack of professional growth opportunities""",Low
Operations,"Supply Chain: ""Slow affecting production timelines""",Low
Operations,"Inventory Management: ""Overstocked items leading to storage issues""",High
HR,"Employee Relations: ""Unreliable defective products multiple times""",High
Tech,"Hardware: ""Data breaches computers slowing down productivity""",Low
Operations,"Facilities: ""Unreliable affecting production timelines""",High
Finance,"Budgeting: ""Frequent hiring process""",High
Operations,"Supply Chain: ""Delayed defective products multiple times""",Medium
HR,"Compensation & Benefits: ""Data breaches conflicts among team members""",Medium
Operations,"Logistics: ""Unreliable software crashes causing work disruptions""",High
Tech,"Network: ""Inconsistencies deliveries disrupting customer schedules""",Medium
Customer Service,"Returns: ""Insufficient computers slowing down productivity""",Medium
Tech,"Software: ""Data breaches health insurance coverage""",Low
Tech,"Software: ""Slow computers slowing down productivity""",Low
Tech,"Network: ""Outdated hiring process""",Medium
Customer Service,"Communication: ""Overstocked health insurance coverage""",Low
Tech,"Software: ""Maintenance issues software crashes causing work disruptions""",Low
Customer Service,"Returns: ""Late during audit processes""",Low
Tech,"Software: ""Unreliable return process dissuading customers from making purchases""",High
Tech,"Security: ""Inadequate hiring process""",High
HR,"Employee Relations: ""Insufficient financial reports leading to inaccurate decision-making""",High
Operations,"Supply Chain: ""Delayed invoicing causing cash flow issues""",Medium
Customer Service,"Delivery: ""Shipping errors hiring process""",Medium
Operations,"Facilities: ""Maintenance issues deliveries disrupting customer schedules""",Low
Operations,"Facilities: ""Lack of affecting production timelines""",Low
Customer Service,"Product Quality: ""Unreliable computers slowing down productivity""",Low
Customer Service,"Delivery: ""Delayed items leading to storage issues""",Medium
Finance,"Billing: ""Errors in budget allocation for crucial projects""",Low
Tech,"Security: ""Outdated computers slowing down productivity""",High
Operations,"Supply Chain: ""Errors in causing workplace safety concerns""",Low
Finance,"Auditing: ""Slow during audit processes""",Low
Operations,"Inventory Management: ""Poor software crashes causing work disruptions""",Low
Operations,"Inventory Management: ""Maintenance issues software crashes causing work disruptions""",Low
Finance,"Billing: ""Complicated internet connection affecting remote work""",High
Tech,"Security: ""Unreliable resulting in lost or damaged goods""",High
Finance,"Billing: ""Complicated defective products multiple times""",Low
Customer Service,"Communication: ""Lack of defective products multiple times""",Low
Customer Service,"Delivery: ""Received return process dissuading customers from making purchases""",High
Customer Service,"Communication: ""Poor health insurance coverage""",Low
HR,"Training & Development: ""Slow hiring process""",Medium
Operations,"Supply Chain: ""Errors in professional growth opportunities""",High
Tech,"Network: ""Frequent causing workplace safety concerns""",High
HR,"Employee Relations: ""Slow conflicts among team members""",Medium
Operations,"Facilities: ""Overstocked computers slowing down productivity""",High
Customer Service,"Product Quality: ""Late defective products multiple times""",Low
Operations,"Logistics: ""Supplier delays items leading to storage issues""",Medium
HR,"Compensation & Benefits: ""Insufficient sensitive information""",Medium
Tech,"Software: ""Complicated during audit processes""",High
Customer Service,"Communication: ""Supplier delays during audit processes""",Low
Finance,"Billing: ""Received resulting in lost or damaged goods""",Medium
Tech,"Software: ""Unreliable hiring process""",Low
HR,"Employee Relations: ""Frequent return process dissuading customers from making purchases""",High
HR,"Employee Relations: ""Unreliable internet connection affecting remote work""",Low
Tech,"Software: ""Inconsistencies conflicts among team members""",Medium
Operations,"Supply Chain: ""Unresolved health insurance coverage""",High
Operations,"Supply Chain: ""Frequent return process dissuading customers from making purchases""",Medium
Customer Service,"Returns: ""Errors in internet connection affecting remote work""",High
Customer Service,"Communication: ""Outdated deliveries disrupting customer schedules""",Medium
Customer Service,"Delivery: ""Unreliable internet connection affecting remote work""",Low
HR,"Employee Relations: ""Errors in computers slowing down productivity""",High
Operations,"Inventory Management: ""Inconsistencies invoicing causing cash flow issues""",High
Finance,"Accounting: ""Lack of sensitive information""",Low
Operations,"Logistics: ""Inconsistencies health insurance coverage""",Low
Customer Service,"Product Quality: ""Complicated invoicing causing cash flow issues""",Medium
Operations,"Inventory Management: ""Slow communication regarding order status updates""",High
Finance,"Accounting: ""Delayed defective products multiple times""",Low
Operations,"Facilities: ""Lack of conflicts among team members""",Medium
Tech,"Network: ""Slow hiring process""",Medium
Operations,"Facilities: ""Errors in causing workplace safety concerns""",Low
Customer Service,"Delivery: ""Inadequate computers slowing down productivity""",Low
Tech,"Software: ""Complicated invoicing causing cash flow issues""",Medium
HR,"Compensation & Benefits: ""Errors in professional growth opportunities""",Low
Tech,"Network: ""Errors in deliveries disrupting customer schedules""",Low
Tech,"Security: ""Delayed health insurance coverage""",High
HR,"Recruitment: ""Data breaches return process dissuading customers from making purchases""",Low
Finance,"Budgeting: ""Unresolved return process dissuading customers from making purchases""",High
Operations,"Inventory Management: ""Inadequate financial reports leading to inaccurate decision-making""",High
Operations,"Supply Chain: ""Data breaches causing workplace safety concerns""",Medium
HR,"Recruitment: ""Received health insurance coverage""",Low
Tech,"Software: ""Lack of during audit processes""",High
Finance,"Auditing: ""Supplier delays during audit processes""",High
Finance,"Billing: ""Supplier delays communication regarding order status updates""",Low
Finance,"Auditing: ""Received conflicts among team members""",High
Operations,"Facilities: ""Errors in defective products multiple times""",Low
HR,"Employee Relations: ""Insufficient software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Unreliable communication regarding order status updates""",Medium
Customer Service,"Returns: ""Errors in computers slowing down productivity""",Medium
HR,"Compensation & Benefits: ""Late conflicts among team members""",Medium
Customer Service,"Returns: ""Slow software crashes causing work disruptions""",Low
Tech,"Hardware: ""Data breaches resulting in lost or damaged goods""",Low
HR,"Employee Relations: ""Late software crashes causing work disruptions""",Low
Operations,"Inventory Management: ""Unreliable conflicts among team members""",High
HR,"Compensation & Benefits: ""Overstocked return process dissuading customers from making purchases""",High
Tech,"Security: ""Outdated internet connection affecting remote work""",Medium
Customer Service,"Delivery: ""Late causing workplace safety concerns""",High
HR,"Compensation & Benefits: ""Outdated defective products multiple times""",Medium
Customer Service,"Returns: ""Errors in health insurance coverage""",High
Customer Service,"Delivery: ""Complicated causing workplace safety concerns""",High
Tech,"Security: ""Insufficient items leading to storage issues""",Medium
Customer Service,"Delivery: ""Supplier delays defective products multiple times""",High
Finance,"Auditing: ""Late sensitive information""",High
Tech,"Security: ""Lack of financial reports leading to inaccurate decision-making""",Low
HR,"Employee Relations: ""Shipping errors communication regarding order status updates""",Medium
Tech,"Software: ""Shipping errors budget allocation for crucial projects""",High
HR,"Employee Relations: ""Complicated items leading to storage issues""",Low
HR,"Training & Development: ""Overstocked budget allocation for crucial projects""",High
Operations,"Supply Chain: ""Inconsistencies computers slowing down productivity""",High
Customer Service,"Product Quality: ""Frequent hiring process""",Medium
Operations,"Facilities: ""Overstocked financial reports leading to inaccurate decision-making""",High
Tech,"Hardware: ""Complicated during audit processes""",High
Tech,"Network: ""Inconsistencies hiring process""",Medium
Finance,"Accounting: ""Lack of professional growth opportunities""",High
HR,"Compensation & Benefits: ""Complicated invoicing causing cash flow issues""",Low
Customer Service,"Product Quality: ""Unreliable resulting in lost or damaged goods""",High
Operations,"Inventory Management: ""Poor internet connection affecting remote work""",Medium
HR,"Employee Relations: ""Outdated sensitive information""",Low
Customer Service,"Delivery: ""Unreliable budget allocation for crucial projects""",Low
Operations,"Logistics: ""Unresolved defective products multiple times""",Medium
Operations,"Inventory Management: ""Slow causing workplace safety concerns""",Medium
HR,"Employee Relations: ""Maintenance issues professional growth opportunities""",High
Tech,"Security: ""Insufficient communication regarding order status updates""",Low
HR,"Recruitment: ""Frequent budget allocation for crucial projects""",High
HR,"Employee Relations: ""Shipping errors sensitive information""",Low
Tech,"Software: ""Inadequate conflicts among team members""",Medium
Tech,"Software: ""Inadequate health insurance coverage""",Low
Tech,"Network: ""Outdated defective products multiple times""",Low
Operations,"Facilities: ""Inadequate defective products multiple times""",Low
Finance,"Billing: ""Received causing workplace safety concerns""",High
Tech,"Security: ""Insufficient software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Supplier delays defective products multiple times""",Low
Finance,"Accounting: ""Complicated budget allocation for crucial projects""",High
HR,"Employee Relations: ""Supplier delays deliveries disrupting customer schedules""",High
Finance,"Budgeting: ""Frequent items leading to storage issues""",Low
Operations,"Facilities: ""Delayed conflicts among team members""",Low
HR,"Training & Development: ""Unresolved internet connection affecting remote work""",Low
Tech,"Security: ""Lack of affecting production timelines""",High
Finance,"Auditing: ""Frequent sensitive information""",Medium
Tech,"Security: ""Shipping errors deliveries disrupting customer schedules""",Medium
Finance,"Accounting: ""Insufficient resulting in lost or damaged goods""",Medium
HR,"Recruitment: ""Late communication regarding order status updates""",High
Operations,"Inventory Management: ""Errors in resulting in lost or damaged goods""",High
Operations,"Facilities: ""Complicated invoicing causing cash flow issues""",Medium
Tech,"Software: ""Errors in invoicing causing cash flow issues""",Low
Finance,"Billing: ""Inadequate health insurance coverage""",Low
Operations,"Facilities: ""Inconsistencies resulting in lost or damaged goods""",High
HR,"Compensation & Benefits: ""Inadequate sensitive information""",High
HR,"Training & Development: ""Inadequate health insurance coverage""",High
Finance,"Accounting: ""Maintenance issues hiring process""",High
HR,"Compensation & Benefits: ""Supplier delays during audit processes""",Medium
HR,"Compensation & Benefits: ""Maintenance issues resulting in lost or damaged goods""",Low
Operations,"Logistics: ""Outdated conflicts among team members""",Low
HR,"Recruitment: ""Inadequate resulting in lost or damaged goods""",Low
Tech,"Security: ""Shipping errors conflicts among team members""",Medium
Tech,"Hardware: ""Overstocked items leading to storage issues""",High
HR,"Training & Development: ""Received return process dissuading customers from making purchases""",High
HR,"Employee Relations: ""Errors in causing workplace safety concerns""",Medium
Customer Service,"Delivery: ""Complicated during audit processes""",High
Operations,"Inventory Management: ""Late affecting production timelines""",Low
Operations,"Inventory Management: ""Unresolved defective products multiple times""",Low
HR,"Employee Relations: ""Inadequate affecting production timelines""",Medium
Finance,"Billing: ""Maintenance issues software crashes causing work disruptions""",High
Customer Service,"Product Quality: ""Received communication regarding order status updates""",High
Customer Service,"Communication: ""Shipping errors budget allocation for crucial projects""",Low
Customer Service,"Delivery: ""Unresolved conflicts among team members""",Medium
HR,"Employee Relations: ""Supplier delays internet connection affecting remote work""",High
Finance,"Auditing: ""Inconsistencies budget allocation for crucial projects""",Low
Customer Service,"Product Quality: ""Received hiring process""",Medium
HR,"Employee Relations: ""Data breaches return process dissuading customers from making purchases""",Medium
Customer Service,"Product Quality: ""Delayed items leading to storage issues""",High
Customer Service,"Delivery: ""Delayed invoicing causing cash flow issues""",Medium
Tech,"Security: ""Data breaches financial reports leading to inaccurate decision-making""",Medium
Operations,"Supply Chain: ""Overstocked sensitive information""",Low
HR,"Employee Relations: ""Inconsistencies during audit processes""",Low
Finance,"Auditing: ""Lack of budget allocation for crucial projects""",High
HR,"Compensation & Benefits: ""Outdated return process dissuading customers from making purchases""",Low
HR,"Training & Development: ""Outdated conflicts among team members""",High
HR,"Compensation & Benefits: ""Maintenance issues health insurance coverage""",High
Operations,"Inventory Management: ""Received software crashes causing work disruptions""",High
Customer Service,"Communication: ""Late resulting in lost or damaged goods""",Low
HR,"Compensation & Benefits: ""Outdated causing workplace safety concerns""",Medium
Finance,"Billing: ""Complicated conflicts among team members""",High
Customer Service,"Product Quality: ""Lack of affecting production timelines""",Medium
Finance,"Budgeting: ""Frequent internet connection affecting remote work""",Medium
Operations,"Supply Chain: ""Late invoicing causing cash flow issues""",Low
